,aweme_id,cid,create_time,user.uid,user.nickname,text,reply_comment_total
0,7301444617386331422,7301544889457673006,2023-11-15,6824284627794281477,hooria,Isreal is terriost,95
1,7301444617386331422,7301446240967983918,2023-11-14,6710893776963290118,Fatmeh🍄🇵🇸,Not them getting paid to be there….,181
2,7301444617386331422,7301528695129834282,2023-11-15,7286623834543948846,pocahontas4u,Genocide- 75 years of oppression- genocide- let’s celebrate murders of innocent civilians- breaking war crime and international laws,50
3,7301444617386331422,7301447306817192746,2023-11-14,6847290093422789638,B,embarrassing isreal can’t find 200 people within 25 miles. you’re either grasping at straws or just straight up genocidal atop,48
4,7301444617386331422,7301447295425545003,2023-11-14,6779707009748059142,omarrr.999,They literally got paid to go 😂😂😂😂,129
5,7301444617386331422,7301554919685227307,2023-11-15,6959433709301662725,OCPLAYINGFADED,Zionest (Nazi) are going in America. Be careful christians.,8
6,7301444617386331422,7301466234386105130,2023-11-14,120416073576812544,Kara,😭😭😭 Wish I could have been there!,16
7,7301444617386331422,7301454921379382047,2023-11-14,6921894640241624070,Bluma,I was there!!,17
8,7301444617386331422,7301518581074035499,2023-11-15,7245394406913508398,Penelope,Beautiful!,10
9,7301444617386331422,7301527654834406186,2023-11-15,6769531824613999622,Yar🧿,I have major fomo!!!! So beautiful!💙💙🤍🤍🤍🤍,7
10,7301444617386331422,7301480142768849706,2023-11-15,6836493735484982277,golfer,Amazing and beautiful!!,11
11,7301444617386331422,7301449185994769184,2023-11-14,6889175103692227590,BR,May a 💥 drop at yall,16
12,7301444617386331422,7301495156547633950,2023-11-15,6808318951006077957,Danielle,so so proud,6
13,7301444617386331422,7301723823244935982,2023-11-15,6834443244072453126,Jennifer Levine,Proud of you for standing up for our people!,7
14,7301444617386331422,7301481313684063018,2023-11-15,6805995448743560197,Beddamiamaria,Absolutely AMAZING!! ♥️,2
15,7301444617386331422,7301460290847261482,2023-11-14,7115917283946447918,brycenrenata,Beautiful souls 🥰,0
16,7301444617386331422,7302464123387855623,2023-11-17,7286410341042570242,🤩,thank you so much🥰,0
17,7301444617386331422,7301494324998243114,2023-11-15,7230493148978857002,l,I love this,1
18,7301444617386331422,7301453622797452078,2023-11-14,6896946498266907653,ilovecandy19002,beautiful!,4
19,7301444617386331422,7301727076990436142,2023-11-15,78801962720219136,MasyEnt,Absolutely love this,0
20,7301444617386331422,7303777742000325408,2023-11-21,7064607757790479365,Pascal Leblanc125,All the best.,0
21,7301444617386331422,7301526792951743278,2023-11-15,6747402412955288581,Mountain Goat,Beautiful!!!,3
22,7301444617386331422,7303336390930449158,2023-11-20,6958321728930219014,jmrani0,tiket vvip nerka 😅,7
23,7301444617386331422,7303506732041634565,2023-11-20,7142821320744813569,neehrapasaribu,"HASBUNALLAH WANI'MAL WAKIL NI'MAL MAULA WANI'MANNASYIR, ALLAHUAKBARl ASTAGHFIRULLAHAL'ADZIM ALLAHUAKBAR",2
24,7301444617386331422,7303585961774121734,2023-11-20,7013754813494477826,Ny Lysa,"HASBUNALLAH WANI'MAL WAKIL NI'MAL MAULA WANI'MANNASYIR, ALLAHUAKBARl ASTAGHFIRULLAHAL'ADZIM ALLAHUAKBAR",1
25,7301444617386331422,7303525579487363846,2023-11-20,6829150398775936002,jj,"HASBUNALLAH WANI'MAL WAKIL NI'MAL MAULA WANI'MANNASYIR, ALLAHUAKBARl ASTAGHFIRULLAHAL'ADZIM ALLAHUAKBAR﷽",2
26,7301444617386331422,7303305517475496710,2023-11-19,7158500585158886426,Nisa Rose,pendukung penjajah 🤢🤢,0
27,7301444617386331422,7301504983064003370,2023-11-15,6808631304628880389,Maddie Asarnow,🥹🥹🙏🏼🇮🇱,12
28,7301444617386331422,7303621096200733445,2023-11-20,7293480085049394181,Anshor Mujahidin,udah dapet tiket ke nraka,0
29,7301444617386331422,7303326089698689797,2023-11-19,7083378462959338522,sry,"HASBUNALLAH WANI'MAL WAKIL NI'MAL MAULA WANI'MANNASYIR, ALLAHUAKBARl ASTAGHFIRULLAHAL'ADZIM ALLAHUAKBAR﷽",0
0,7288421622413856046,7288439116659966763,2023-10-10,7283605120754844714,James,very educational. this explains a lot.,6
1,7288421622413856046,7290647180070077189,2023-10-16,6790765416312505350,Vhuhwavho Maumela,How is the United States now involved in signing agreements? When/why are they even involved?,6
2,7288421622413856046,7288921989737349896,2023-10-12,6767719488949601281,DJJAZZ  Dj LAMBING🇵🇭🇰🇷,thnk you for sharing,0
3,7288421622413856046,7295666083549250306,2023-10-30,7025187805946381313,Lynn,@Eve richard historyy,0
4,7288421622413856046,7288428951989781290,2023-10-10,6964436884815496198,johndiaz971,Interesting,0
5,7288421622413856046,7300540646917227296,2023-11-12,6785439097919996934,🦁🐐,@Abdullah denna förklarar bra,6
6,7288421622413856046,7298396288814924576,2023-11-06,6844495349001077766,💋💋,@JJ💗 zie,2
7,7288421622413856046,7297460005334156037,2023-11-04,6774280982401991685,h,@Tom,0
8,7288421622413856046,7295709242828718853,2023-10-30,7267956979409093638,🇸🇩❤🇵🇸,@ice man,1
9,7288421622413856046,7295119114111255329,2023-10-28,6789647763761808390,Joestar🥸,@scared_pottah • Following,4
10,7288421622413856046,7295095260853044000,2023-10-28,7272400419749053472,Akaname🇵🇸🇵🇸,@Rachel🫶🏻,8
11,7288421622413856046,7294751618019918625,2023-10-27,7151912683960370182,lara🤍,@freya🫧,0
12,7288421622413856046,7294221793564885792,2023-10-26,6848577955783771141,AdfjQe,@Lexier,14
13,7288421622413856046,7292093591195026181,2023-10-20,6719489853026993158,Noor Muslimah💗🏴,@F1n4LLy,0
14,7288421622413856046,7291457666986492677,2023-10-19,6968928971812848646,monahamed.k,@Josh Anthony 🇩🇴,0
15,7288421622413856046,7289835183984329505,2023-10-14,6811076121787778054,L,@Beth Cox,0
16,7288421622413856046,7288826147655500586,2023-10-11,6985582054176523269,Unbeatabledad,@SteveMontana,10
17,7288421622413856046,7288804670499242795,2023-10-11,6783652006810747910,Bert,🗣️,0
18,7288421622413856046,7301793572755555077,2023-11-15,6675773250767717382,Sabah 🦢,@yoav.gutman,15
19,7288421622413856046,7301359911098041121,2023-11-14,264209230306717696,;)),@Yara Dilona,0
20,7288421622413856046,7300977986160706337,2023-11-13,7205298833524327429,49%,@Alma,0
21,7288421622413856046,7299225027542582049,2023-11-08,6617495914800496645,hhh 🇵🇸‼️,@luisa,4
22,7288421622413856046,7298686000452338464,2023-11-07,7224017794979300358,﷽,@שוקולד תות😍,0
23,7288421622413856046,7298040297366569736,2023-11-05,6903243174736970757,Abam BeNi,@andy_nez,0
24,7288421622413856046,7297206028407964422,2023-11-03,7211860030441358341,😩💵,@Reverie,0
25,7288421622413856046,7296419476877918977,2023-11-01,6663699190232055814,George,@L @adri,0
26,7288421622413856046,7295084990034133792,2023-10-28,7159183260697658374,SKZ4THGENLEADERSS,@mika_g,0
27,7288421622413856046,7294681381681300257,2023-10-27,6843733025298678790,Y,@1dan.ariav,0
28,7288421622413856046,7294002291252904736,2023-10-25,6809564403017860101,Fatima,@noam weinstein,0
0,7294821636967042347,7295823532855690014,2023-10-30,6890681016505598981,Whats poppin,World War 4 will be fought with sticks and stones,104
1,7294821636967042347,7295792038137971502,2023-10-30,6819024644968842245,Blacks South LA,do we still have to go to work?,147
2,7294821636967042347,7296978248051409710,2023-11-02,7057944707436266542,magicalmystery,world War 3 has already started. we just don't want to see it.,76
3,7294821636967042347,7295872363395875626,2023-10-30,6972271156661732357,Kt Lay,I’m so sick of feeling like a pawn in a game i can’t afford to play.,146
4,7294821636967042347,7296712442636747551,2023-11-02,7242909811047318574,BigCheese578,I’m so scared is this really going to happen 😢,27
5,7294821636967042347,7296139333739004715,2023-10-31,7172332873511879722,goopy,Just attack the ppl in charge not us,77
6,7294821636967042347,7295799849684108075,2023-10-30,7002251039387452421,,Will I still have to pay taxes?,100
7,7294821636967042347,7295812552272855839,2023-10-30,6975751934838244357,Mandy0217,you know how many people have threatened America lol,135
8,7294821636967042347,7294836542573495086,2023-10-28,7023194404248781829,Michael Brock-medley183,Bring it let’s get it on and over with may God be with us all,51
9,7294821636967042347,7295870320623256362,2023-10-30,7003694360966595589,Megan,These leaders get the citizens in situations we aren’t even aware of until it’s too late,54
10,7294821636967042347,7294842013089776427,2023-10-28,6720683873682228229,K✨,Im due in february i cant deal with this,42
11,7294821636967042347,7296144818043798315,2023-10-31,7030861824619283461,msnevermrs,I can't tell if we're playing Monopoly or Jumanji at this point but I'm tired of the games,14
12,7294821636967042347,7294840881063985966,2023-10-28,110930982496587776,Emogene Ray,God knows what’s happening. Hod has a plan . We should pray.,51
13,7294821636967042347,7299912247279108910,2023-11-10,6532379419394113537,🗿,We bout to die dawg,8
14,7294821636967042347,7294823955474973482,2023-10-28,7218942304546260010,paintedshirt,Much fear. So scared.,28
15,7294821636967042347,7295903666245387038,2023-10-30,6993563660698502150,really..wow,honestly come teach our leadership a lesson.. we need to learn how to mind our own country.,26
16,7294821636967042347,7301462029205701418,2023-11-14,7247891322069156907,rottencowboy,they dont get that americans stand by each other when times get hard. come and take it 🇺🇸 🪖,0
17,7294821636967042347,7300099643793523502,2023-11-11,237142359052959744,E.d. Tugler,We not scared of them !!,3
18,7294821636967042347,7296895898234798879,2023-11-02,7094794332851520554,Mpebworth,"There is more going on here that what we think, this is Dangerous",6
19,7294821636967042347,7294839949515047726,2023-10-28,7194955336837956651,Bilyjohnson,Iran said what? lol,39
20,7294821636967042347,7299961139692684074,2023-11-10,6791079186246960133,☆grumpybitch♡,"accepting that I can't protect us and we will most likely perish. 🥺but, it is what it is.",0
21,7294821636967042347,7300681381013553966,2023-11-12,6588453922113257477,TorresR,Bring it on we ready,0
22,7294821636967042347,7296349333834154795,2023-11-01,7050463582232069166,Googleuser7644842,do we still have to pay taxes 🤔😅😅,5
23,7294821636967042347,7301717256575583006,2023-11-15,6981812087175103493,ravenhue55,Seems the media wants WWIII to happeb,0
24,7294821636967042347,7300710888226800427,2023-11-12,6716765300144555014,Maximus_711,Nothing would.brimg Americans together than a War. They are not thinking it through. Would be the end of them.,0
25,7294821636967042347,7300381295359083307,2023-11-12,7258348256001115178,🇧🇦,Trump we need you buddy,0
26,7294821636967042347,7301035404077220650,2023-11-13,7108110980949427243,VinCostanza,And this is why we shouldnt get into other people’s fights,0
27,7294821636967042347,7300422624081707822,2023-11-12,6891658781576201221,"DJ CLAVO361CORPITOS ,TX",TEXAS IS READY BABY IS SOMEOF US HAVE TO GO WITH OUR LORD WE WILL NEVER FALL BACK,0
28,7294821636967042347,7296354766082835230,2023-11-01,6978553040983983110,Bliss1965,"Well, at least he told us to our face. I’m like the American government always lying behind the scenes.",6
29,7294821636967042347,7294839050112189226,2023-10-28,6970243185235559430,Heather,New are already in WWIII. We are just told nothing in the media!,10
0,7287966194831789354,7287978193587405614,2023-10-09,6766948689955357702,Grumpyterrain,"Father, I pray for the innocent people that are affected by this situation. Minimize the suffering & bring comfort! Amen",14
1,7287966194831789354,7288018907846427438,2023-10-09,6802566346153837573,Jessica Hillard,please pray for my dad. I have prayed & prayed that he would put God in his life. I have talked to him but he doesn't want to hear it.,43
2,7287966194831789354,7288044978592269086,2023-10-09,6839797160797733894,J.R,I hate to say this but I’m so scared and I don’t want to be,21
3,7287966194831789354,7299111880147927810,2023-11-08,7070654620386214917,Shanelle,i believe in u god . everything happens according to ur plan my lord. i pray for those who are innocent my lord forgive those who are the reason,2
4,7287966194831789354,7299561548543902510,2023-11-09,7297216791868408875,Heather,where is your necklace from?,0
5,7287966194831789354,7291966528323977991,2023-10-20,6964678029742375937,paddlepo0p,if nabi isa (as) gather his ppl its the muslims and there will be many so don’t you worry about it,1
6,7287966194831789354,7299079280538649390,2023-11-08,6826108343153804293,Sean McDowell,You’re amazing and I can see the Holy Spirit hard at work through you!,0
7,7287966194831789354,7288863476938965765,2023-10-12,6700256893346350085,Lív,"It is so hard to be a chriatian teen girl, but i try to follow God",4
8,7287966194831789354,7288267420006925102,2023-10-10,318015998509502465,Mariann Jumper Harsey,I need a good study bible which one you suggest,1
9,7287966194831789354,7289286955401380650,2023-10-13,25788837,Cassidy-Maray Westbrook,Please pray for my fiancé. I try to lead him to Christ but he doesn’t believe. I’m worried for him.🥺,3
10,7287966194831789354,7288124368688022314,2023-10-10,6962415912428454917,HollyHollyHolly,I have cried and cried praying for the people of Isreal. I continue to pray for them. 🙏🥺💕,2
11,7287966194831789354,7289091249419322158,2023-10-12,6898901581791659013,Kelli Ann,I love your shirt,1
12,7287966194831789354,7288850905213207301,2023-10-11,279067512338862080,Amelia,I genuinely have a question how come it’s the wars that are happening now that are more significant then the ones that have already happened or happen,1
13,7287966194831789354,7288189681525900074,2023-10-10,7287055661476201514,Noneyabizznes,everyone since the beginning of time thought the world would END in their lifetime,1
14,7287966194831789354,7288860939682939690,2023-10-12,6939879997406938118,karenrussellspeec,"I would love to have one of the study bibles you use. I was planning to buy one, but my husband was forced into retirement. I will be retiring soon to",1
15,7287966194831789354,7288599663259206418,2023-10-11,17104658,كلومي,"Mat24:14And this good news of the Kingdom will be preached in all the inhabited earth for a witness to all the nations, and then the end will come.""",1
16,7287966194831789354,7288361566617010990,2023-10-10,6782018851313943558,Nancy Gilbert,I’ve never had such a heaviness in my heart. I’m scared or nervous I can’t figure it out. I am staying in prayer. Pray for our world. Give your heart,1
17,7287966194831789354,7288635347075498794,2023-10-11,6896827081486222342,Teen,Praying for them,0
18,7287966194831789354,7288624603545535240,2023-10-11,7271077985552352257,Alfred,thank you Lord Jesus Christ amen,0
19,7287966194831789354,7288035800909759265,2023-10-09,6871962579670107141,𝐷𝑖𝑎𝑛𝑒 𝑀𝑖𝑡𝑐ℎ𝑒𝑙𝑙,My heart is aching for this world right now,0
20,7287966194831789354,7288512537242600198,2023-10-11,6647339175300038657,raisa.A,Lord let Your will be done and may You protect all your people.🙏,0
21,7287966194831789354,7288346439847527174,2023-10-10,7015575019788157958,Gorgeousness Naki923,To me am not afraid because I know very soon am going back to be with my creator,0
22,7287966194831789354,7288767831035953966,2023-10-11,10941543,Deanna Palmer | SAHM🙌,I fully believe but I am so scared as a mother. I don’t want things to end I have babies to raise and I’m scared,0
23,7287966194831789354,7288699486842045215,2023-10-11,7269864323538027563,Dawn Marie,Pray for world peace,0
24,7287966194831789354,7288696435927909166,2023-10-11,6960398344728806405,phillipkellieclark,"I was praying last night about stepping out of my comfort zone to talk to more people about getting close to God, repenting.",0
25,7287966194831789354,7288209761890272043,2023-10-10,6790003110963627013,onlynauj,LOVE EACHOTHER,0
26,7287966194831789354,7288855187930006274,2023-10-12,6823011749429494786,Meiko~,i pray for the innocent ppl in both country,0
27,7287966194831789354,7288498852905812767,2023-10-11,6910374188151292933,Kristi Bradshaw Atki,Thank you for this message.,0
28,7287966194831789354,7288429123537404678,2023-10-10,7100033793385792518,Braaibroodjies71🇿🇦,Joël3:4 read young teacher!,0
29,7287966194831789354,7288540129228473131,2023-10-11,6965516631603020806,dorisbeard1967,thank the Lord I gave my life to him,0
0,7295897052477705502,7298395828166132522,2023-11-06,7125093884741551147,puckis_life27,"Hamas isn’t fighting Israel, they are fighting God✝️💪",8
1,7295897052477705502,7297607485953901354,2023-11-04,6818732325071242246,Interior crocodile alligator,He makes a good point bringing up the Pearl Harbor thing,5
2,7295897052477705502,7300737174357377800,2023-11-13,7139299933459334149,End Times Reminder,world war 3 will take around 4 years and after that there will be peace for 7 years,1
3,7295897052477705502,7296827650735162155,2023-11-02,7011764730302120965,johnduncan1976,it's been raging for a while now already,1
4,7295897052477705502,7297418278933971754,2023-11-04,6960511497982673925,Bettina,Well said,1
5,7295897052477705502,7296573959813497605,2023-11-01,6899721465421399046,sean lawton,😂😂😂death will find you😂😂blowing hot air Israel are the mischief makers on earth 🔥,0
6,7295897052477705502,7298438112823788330,2023-11-06,7186046748709045294,louisguiffre,🙏Amen Brother 🙏,1
7,7295897052477705502,7303575140956619525,2023-11-20,7018221723502904322,GeLL,Precisely...,0
8,7295897052477705502,7297103970857861931,2023-11-03,6976330214839223301,r1nagurl,Amen. 🙏,5
9,7295897052477705502,7300842082984329989,2023-11-13,7125064771511567365,provides_1918,AMEN 🙏,0
10,7295897052477705502,7300561026466300704,2023-11-12,7074570041013945349,vieracickov,Netanjahu skončí pred medzinarodnym tribunalom,0
11,7295897052477705502,7300559579376255776,2023-11-12,7074570041013945349,vieracickov,Prestaň okupovať cudzie uzemie,0
12,7295897052477705502,7295973697642365738,2023-10-31,6928949206543549445,KeeKee,🥺,0
13,7295897052477705502,7302971513299485472,2023-11-19,7040839668758316037,Leo boy@2340,😳😂😂😂😂,0
14,7295897052477705502,7295899097145344814,2023-10-30,6734424283088618502,Jim,Amen brother. I believe the far left does not want you to win obviously. And they want us in wars that they don’t want the US to win either. No conspi,5
15,7295897052477705502,7302377182306386693,2023-11-17,6875812855904814086,yasmina,bible??? what 😅,0
16,7295897052477705502,7296263333031592746,2023-10-31,6815073337346098181,user6562805397011,Amen.,1
17,7295897052477705502,7296215937735623425,2023-10-31,6759550360857658373,Chinonso Peter,amen,1
18,7295897052477705502,7297568156973220641,2023-11-04,7152575365374280709,💋🎧,Amen 🙏🏼,0
19,7295897052477705502,7302348431770829574,2023-11-17,7286732054669575174,INVESTOR,amen,0
20,7295897052477705502,7300890290470060833,2023-11-13,7117244417124058118,user8826132049746,Amen,0
21,7295897052477705502,7298465089366901510,2023-11-06,7157045905181606917,Mrs. G Code,Amen 🙏,0
22,7295897052477705502,7297194525940138760,2023-11-03,7190297299163186182,shell,Amen 🙏,0
23,7295897052477705502,7297103532679250721,2023-11-03,6721389625527387142,ADAM D,Amen,0
24,7295897052477705502,7298952776840364846,2023-11-08,6918953206392292357,CMBaker,Israel is God’s chosen people..,9
25,7295897052477705502,7303182438435209990,2023-11-19,7025912468603339782,mizfarali,israel is planning to take and control the world the US and Israel are planning to make the world one world religions.,1
26,7295897052477705502,7297263149586252549,2023-11-03,7237166273078821894,Deolinda Meysa Elvany,"WW3 will last for about 4 years & era of peace after this will be 7 years. Then Dajjal, prophet Isa AS & Yajuj Majuj will come 🔎Muhammad Qasim Dreams",7
