Node,Degree Centrality
0,2514
1,534
2,130
3,358
4,682
5,1192
6,742
7,2128
8,958
9,218
10,16
11,622
12,1506
13,126
14,586
15,752
16,1150
17,1008
18,820
19,2344
20,740
21,18
22,248
23,1398
24,1368
25,918
26,70
27,314
28,22
29,116
30,724
31,224
32,700
33,164
34,260
35,156
36,1224
37,876
38,438
39,992
40,452
41,186
42,258
43,96
44,358
45,1096
46,1038
47,168
48,404
49,2232
50,52
51,1336
52,352
53,1690
54,804
55,1426
56,128
57,124
58,646
59,84
60,144
61,332
62,1016
63,1848
64,446
65,400
66,386
67,690
68,894
69,570
70,1200
71,1554
72,1080
73,938
74,196
75,660
76,1504
77,164
78,186
79,430
80,382
81,1676
82,930
83,160
84,924
85,584
86,184
87,826
88,82
89,260
90,1286
91,674
92,352
93,986
94,728
95,1246
96,1798
97,562
98,714
99,1046
100,94
101,2658
102,560
103,1212
104,802
105,1362
106,776
107,680
108,1550
109,296
110,42
111,806
112,154
113,1902
114,40
115,752
116,828
117,116
118,614
119,1986
120,198
121,282
122,484
123,762
124,2318
125,910
126,1138
127,776
128,386
129,1740
130,1252
131,448
132,62
133,964
134,116
135,1438
136,812
137,876
138,842
139,1000
140,532
141,884
142,792
143,886
144,394
145,446
146,1260
147,1210
148,700
149,1322
150,928
151,1070
152,502
153,12
154,1112
155,1128
156,1478
157,104
158,266
159,228
160,1554
161,978
162,250
163,356
164,824
165,1432
166,222
167,860
168,1200
169,1038
170,1012
171,800
172,470
173,1220
174,12
175,350
176,720
177,346
178,1108
179,226
180,256
181,762
182,1720
183,1428
184,672
185,1294
186,452
187,1480
188,958
189,68
190,30
191,686
192,1556
193,598
194,50
195,358
196,1108
197,692
198,964
199,1398
200,954
201,208
202,1248
203,1410
204,180
205,294
206,1076
207,266
208,918
209,382
210,1090
211,998
212,28
213,136
214,1550
215,512
216,1056
217,1376
218,1306
219,1544
220,1544
221,784
222,1056
223,412
224,356
225,984
226,740
227,560
228,1268
229,102
230,840
231,1444
